"date","value","groupid","group"
"2011-07-10",69.4152,27,"VPOS"
"2011-07-11",69.4152,27,"VPOS"
"2011-07-12",70.0724,27,"VPOS"
"2011-07-15",69.0556,27,"VPOS"
"2011-07-16",67.5056,27,"VPOS"
"2011-07-17",68.8324,27,"VPOS"
"2011-07-18",69.3408,27,"VPOS"
"2011-07-19",69.316,27,"VPOS"
"2011-07-22",69.4276,27,"VPOS"
"2011-07-23",69.2416,27,"VPOS"
"2011-07-24",69.936,27,"VPOS"
"2011-07-25",69.5888,27,"VPOS"
"2011-07-26",70.1964,27,"VPOS"
"2011-07-29",70.37,27,"VPOS"
"2011-07-30",70.7544,27,"VPOS"
"2011-07-31",71.5108,27,"VPOS"
"2011-08-01",71.5728,27,"VPOS"
"2011-08-02",70.246,27,"VPOS"
"2011-08-05",71.0148,27,"VPOS"
"2011-08-06",71.6968,27,"VPOS"
"2011-08-07",70.4196,27,"VPOS"
"2011-08-08",71.176,27,"VPOS"
"2011-08-09",71.486,27,"VPOS"
"2011-08-12",71.3372,27,"VPOS"
"2011-08-13",71.3372,27,"VPOS"
"2011-08-14",70.8412,27,"VPOS"
"2011-08-15",70.2956,27,"VPOS"
"2011-08-16",70.2708,27,"VPOS"
"2011-08-19",71.2752,27,"VPOS"
"2011-08-20",71.2752,27,"VPOS"
"2011-08-21",72.85,27,"VPOS"
"2011-08-22",73.16,27,"VPOS"
"2011-08-23",73.9164,27,"VPOS"
"2011-08-26",74.2264,27,"VPOS"
"2011-08-27",74.648,27,"VPOS"
"2011-08-28",74.7224,27,"VPOS"
"2011-08-29",75.3796,27,"VPOS"
"2011-08-30",75.9376,27,"VPOS"
"2011-09-02",75.9004,27,"VPOS"
"2011-09-03",75.3424,27,"VPOS"
"2011-09-04",75.1688,27,"VPOS"
"2011-09-05",75.3176,27,"VPOS"
"2011-09-06",74.1272,27,"VPOS"
"2011-09-09",74.1272,27,"VPOS"
"2011-09-10",73.656,27,"VPOS"
"2011-09-11",73.0732,27,"VPOS"
"2011-09-12",73.532,27,"VPOS"
"2011-09-13",73.78,27,"VPOS"
"2011-09-16",73.2468,27,"VPOS"
"2011-09-17",73.718,27,"VPOS"
"2011-09-18",73.5692,27,"VPOS"
"2011-09-19",72.9244,27,"VPOS"
"2011-09-20",74.2884,27,"VPOS"
"2011-09-23",73.6684,27,"VPOS"
"2011-09-24",75.2184,27,"VPOS"
"2011-09-25",75.0944,27,"VPOS"
"2011-09-26",77.0536,27,"VPOS"
"2011-09-27",76.632,27,"VPOS"
"2011-09-30",76.8552,27,"VPOS"
"2011-10-01",77.128,27,"VPOS"
"2011-10-02",77.004,27,"VPOS"
"2011-10-03",77.3016,27,"VPOS"
"2011-10-04",76.4956,27,"VPOS"
"2011-10-07",76.4956,27,"VPOS"
"2011-10-08",77.2272,27,"VPOS"
"2011-10-09",76.7684,27,"VPOS"
"2011-10-10",76.3096,27,"VPOS"
"2011-10-11",77.5868,27,"VPOS"
"2011-10-14",76.9048,27,"VPOS"
"2011-10-15",76.7808,27,"VPOS"
"2011-10-16",77.5,27,"VPOS"
"2011-10-17",77.066,27,"VPOS"
"2011-10-18",77.3388,27,"VPOS"
"2011-10-21",77.9836,27,"VPOS"
"2011-10-22",79.5088,27,"VPOS"
"2011-10-23",80.166,27,"VPOS"
"2011-10-24",80.0544,27,"VPOS"
"2011-10-25",80.228,27,"VPOS"
"2011-10-28",81.22,27,"VPOS"
"2011-10-29",80.9596,27,"VPOS"
"2011-10-30",80.972,27,"VPOS"
"2011-10-31",81.0712,27,"VPOS"
"2011-11-01",81.9516,27,"VPOS"
"2011-11-04",81.5672,27,"VPOS"
"2011-11-05",80.7612,27,"VPOS"
"2011-11-06",81.84,27,"VPOS"
"2011-11-07",81.1084,27,"VPOS"
"2011-11-08",82.1128,27,"VPOS"
"2011-11-11",81.964,27,"VPOS"
"2011-11-12",83.2908,27,"VPOS"
"2011-11-13",83.266,27,"VPOS"
"2011-11-14",83.6504,27,"VPOS"
"2011-11-15",83.6504,27,"VPOS"
"2011-11-18",83.4024,27,"VPOS"
"2011-11-19",83.8736,27,"VPOS"
"2011-11-20",82.15,27,"VPOS"
"2011-11-21",82.7452,27,"VPOS"
"2011-11-22",80.972,27,"VPOS"
"2011-11-25",81.344,27,"VPOS"
"2011-11-26",80.8728,27,"VPOS"
"2011-11-27",81.096,27,"VPOS"
"2011-11-28",81.5176,27,"VPOS"
"2011-11-29",81.4432,27,"VPOS"
"2011-12-02",79.484,27,"VPOS"
"2011-12-03",80.0916,27,"VPOS"
"2011-12-04",79.5212,27,"VPOS"
"2011-12-05",80.6496,27,"VPOS"
"2011-12-06",83.3776,27,"VPOS"
"2011-12-09",82.6584,27,"VPOS"
"2011-12-10",83.638,27,"VPOS"
"2011-12-11",83.6008,27,"VPOS"
"2011-12-12",84.4812,27,"VPOS"
"2011-12-13",84.01,27,"VPOS"
"2011-12-16",83.8612,27,"VPOS"
"2011-12-17",84.8284,27,"VPOS"
"2011-12-18",84.6672,27,"VPOS"
"2011-12-19",86.0312,27,"VPOS"
"2011-12-20",87.0852,27,"VPOS"
"2011-12-23",86.8744,27,"VPOS"
"2011-12-24",87.0976,27,"VPOS"
"2011-12-25",87.1844,27,"VPOS"
"2011-12-26",87.0604,27,"VPOS"
"2011-12-27",86.8992,27,"VPOS"
"2011-12-30",86.5396,27,"VPOS"
"2011-12-31",88.6724,27,"VPOS"
"2012-01-01",90.2472,27,"VPOS"
"2012-01-02",89.5652,27,"VPOS"
"2012-01-03",90.9168,27,"VPOS"
"2009-02-27",37.076,359,"VPOS"
"2009-02-28",37.2,359,"VPOS"
"2009-03-01",37.2124,359,"VPOS"
"2009-03-02",37.4604,359,"VPOS"
"2009-03-03",36.8156,359,"VPOS"
"2009-03-06",37.386,359,"VPOS"
"2009-03-07",37.7208,359,"VPOS"
"2009-03-08",37.138,359,"VPOS"
"2009-03-09",37.7332,359,"VPOS"
"2009-03-10",37.7952,359,"VPOS"
"2009-03-13",38.068,359,"VPOS"
"2009-03-14",38.626,359,"VPOS"
"2009-03-15",38.44,359,"VPOS"
"2009-03-16",37.8448,359,"VPOS"
"2009-03-17",37.6588,359,"VPOS"
"2009-03-20",38.44,359,"VPOS"
"2009-03-21",38.254,359,"VPOS"
"2009-03-22",38.4152,359,"VPOS"
"2009-03-23",38.3532,359,"VPOS"
"2009-03-24",38.4276,359,"VPOS"
"2009-03-27",38.564,359,"VPOS"
"2009-03-28",38.7872,359,"VPOS"
"2009-03-29",38.006,359,"VPOS"
"2009-03-30",37.9316,359,"VPOS"
"2009-03-31",38.068,359,"VPOS"
"2009-04-03",38.068,359,"VPOS"
"2009-04-04",38.44,359,"VPOS"
"2009-04-05",38.2292,359,"VPOS"
"2009-04-06",37.6836,359,"VPOS"
"2009-04-07",37.7828,359,"VPOS"
"2009-04-10",38.0308,359,"VPOS"
"2009-04-11",38.0959,359,"VPOS"
